,Arsenal scored,Arsenal received,Man City scored,Man City received,Stoke scored,Stoke received,West Ham scored,West Ham received,Wigan scored,Wigan received,Chelsea scored,Chelsea received,Tottenham scored,Tottenham received,Fulham scored,Fulham received,Man United scored,Man United received,Sunderland scored,Sunderland received,Hull scored,Hull received,Liverpool scored,Liverpool received,Birmingham scored,Birmingham received,Bolton scored,Bolton received,Aston Villa scored,Aston Villa received,Blackburn scored,Blackburn received,Burnley scored,Burnley received,Wolves scored,Wolves received,Everton scored,Everton received,Portsmouth scored,Portsmouth received
13,1.3333333333333333,1.6666666666666667,2.0,2.0,0.6666666666666666,0.6666666666666666,3.0,2.6666666666666665,1.0,3.3333333333333335,2.6666666666666665,0.0,4.0,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.0,2.0,1.6666666666666667,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,2.3333333333333335,1.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,3.0,0.3333333333333333,3.0,0.6666666666666666,2.0,0.6666666666666666,2.6666666666666665
14,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.6666666666666665,3.3333333333333335,1.3333333333333333,4.0,2.6666666666666665,0.6666666666666666,4.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.0,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667
15,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333333,0.0,0.0,1.3333333333333333,2.6666666666666665,1.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667
16,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,2.3333333333333335,2.0,2.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,1.0,2.0,1.0,2.3333333333333335,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0
17,2.0,0.6666666666666666,2.3333333333333335,3.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,2.0,2.3333333333333335,1.3333333333333333,1.0
18,2.3333333333333335,0.3333333333333333,2.0,2.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,0.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333
19,3.3333333333333335,0.3333333333333333,3.0,1.0,0.0,1.3333333333333333,1.0,1.0,0.3333333333333333,2.0,1.0,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.0,2.3333333333333335,1.0,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,2.0
20,3.0,1.0,3.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666,2.3333333333333335,1.0,1.3333333333333333,2.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,2.0,1.6666666666666667,1.0,0.3333333333333333,2.3333333333333335
21,2.6666666666666665,1.0,2.3333333333333335,1.0,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,3.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.0,0.3333333333333333,2.6666666666666665,3.0,1.0,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.0,0.3333333333333333,2.0,1.0,2.0,2.0,0.6666666666666666,0.6666666666666666,2.3333333333333335
22,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,3.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.3333333333333333,2.0,3.0,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333
23,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.0,2.0,3.3333333333333335,0.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,2.0,1.0,0.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,1.6666666666666667
24,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,0.3333333333333333,0.0,1.3333333333333333,4.0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,1.0,0.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
25,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.0,1.3333333333333333,0.0,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,2.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2.6666666666666665
26,1.0,0.6666666666666666,1.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,0.0,1.6666666666666667,2.0,1.0,1.3333333333333333,1.0,1.3333333333333333,3.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,2.6666666666666665
27,2.0,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,1.0,3.3333333333333335,0.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
28,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,3.0,1.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,1.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,1.0,2.0,1.0,1.3333333333333333,3.3333333333333335,0.0,1.3333333333333333,3.0,1.3333333333333333,1.0,2.6666666666666665
29,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,3.0,0.3333333333333333,1.6666666666666667,3.6666666666666665,1.6666666666666667,2.0,0.6666666666666666,0.0,1.3333333333333333,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,2.0,1.0,2.3333333333333335,0.6666666666666666,1.0,2.6666666666666665,1.6666666666666667,1.0,3.3333333333333335
30,2.3333333333333335,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,2.0,2.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,3.0,1.0,1.3333333333333333,3.6666666666666665
31,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,4.0,1.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,2.3333333333333335,3.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.0,3.0,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.6666666666666665
32,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,3.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.0,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.0,1.6666666666666667,0.0,2.3333333333333335,1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
33,1.0,1.0,4.666666666666667,0.6666666666666666,1.0,0.0,1.0,1.0,0.3333333333333333,1.6666666666666667,3.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.0,2.0,1.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,0.0,2.0,1.3333333333333333,3.0,0.3333333333333333,0.0,1.6666666666666667,2.6666666666666665,0.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666
