,Man City scored,Man City received,Man United scored,Man United received,Liverpool scored,Liverpool received,Brighton scored,Brighton received,Burnley scored,Burnley received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Bournemouth scored,Bournemouth received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Leicester scored,Leicester received,Wolves scored,Wolves received,Newcastle scored,Newcastle received,Southampton scored,Southampton received,Watford scored,Watford received,Chelsea scored,Chelsea received,West Ham scored,West Ham received,Sheffield United scored,Sheffield United received,Aston Villa scored,Aston Villa received,Norwich scored,Norwich received
10,2.3333333333333335,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.0,3.0,1.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,2.0,1.6666666666666667,1.3333333333333333,4.333333333333333,0.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,4.0,0.6666666666666666,1.0,2.3333333333333335,1.0,1.0,2.0,1.6666666666666667,0.3333333333333333,1.0,2.0,0.3333333333333333,1.6666666666666667
11,2.0,1.3333333333333333,2.0,1.0,2.3333333333333335,1.0,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,4.333333333333333,0.0,1.3333333333333333,1.0,2.0,1.3333333333333333,0.6666666666666666,4.333333333333333,1.0,0.6666666666666666,2.6666666666666665,1.0,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.3333333333333335
12,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,1.0,1.0,1.6666666666666667,2.0,1.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,2.0,1.0,1.3333333333333333,2.0,0.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,3.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
13,1.6666666666666667,2.0,2.6666666666666665,2.0,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.0,1.0,1.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
14,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.0,3.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.0,2.3333333333333335,2.0,1.6666666666666667,2.0,1.0,2.0,1.3333333333333333,0.6666666666666666,1.0,3.0,2.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333
15,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,3.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,3.6666666666666665,3.0,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,0.0,2.0,2.6666666666666665,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.0
16,2.6666666666666665,1.0,1.6666666666666667,1.0,3.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.0,2.6666666666666665,1.0,1.3333333333333333,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667
17,2.3333333333333335,1.0,1.0,1.3333333333333333,2.3333333333333335,0.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,3.0,1.0,1.6666666666666667
18,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.6666666666666665,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333
19,2.3333333333333335,1.3333333333333333,2.0,1.0,2.3333333333333335,0.0,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.0,2.0,2.0,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,2.0,0.6666666666666666,1.0,0.6666666666666666,2.0,1.0,1.6666666666666667
20,2.0,1.3333333333333333,2.0,1.0,2.3333333333333335,0.0,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.0,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.0,1.3333333333333333,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,1.3333333333333333
21,3.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,0.0,3.0,1.0,1.0,1.3333333333333333,1.0,2.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,1.0,3.3333333333333335,1.0,2.3333333333333335
22,3.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,1.0,1.0,2.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667
23,3.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.0
24,1.0,1.3333333333333333,0.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
25,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,2.0,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,2.0,2.6666666666666665,1.6666666666666667,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.0,2.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.3333333333333333,3.0,1.0,0.6666666666666666,1.6666666666666667,2.0,0.3333333333333333,1.0
26,1.0,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,2.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.6666666666666667,1.0,2.0,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,0.0,1.3333333333333333
27,2.0,0.0,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,2.3333333333333335,1.0,1.0,2.0,1.6666666666666667,0.0,0.6666666666666666,2.0,0.6666666666666666,0.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333
28,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,1.0,0.0,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,2.0,0.3333333333333333,1.3333333333333333
29,2.6666666666666665,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,2.0,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,1.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,2.0,0.3333333333333333,1.3333333333333333
30,2.0,1.3333333333333333,2.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.0,1.6666666666666667,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,0.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,2.3333333333333335,0.0,1.6666666666666667
31,3.3333333333333335,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.0,2.6666666666666665,0.6666666666666666,2.0,1.0,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.0,2.0,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,2.6666666666666665
32,1.6666666666666667,1.0,3.6666666666666665,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,0.0,1.0,3.3333333333333335,0.0,2.6666666666666665,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,2.0
33,3.0,0.3333333333333333,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.0,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,0.3333333333333333,1.0,3.0,0.6666666666666666,2.3333333333333335,1.0,1.0,1.6666666666666667,1.0,0.3333333333333333,1.0,2.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.0,2.0,0.3333333333333333,2.3333333333333335
34,3.3333333333333335,0.3333333333333333,3.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.0,2.0,2.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.0,1.0,3.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,2.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335
35,4.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
36,3.6666666666666665,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,2.0,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,2.0,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,2.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.0,1.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.6666666666666666,1.0,1.0,1.3333333333333333,0.3333333333333333,0.0,2.3333333333333335
37,3.6666666666666665,0.3333333333333333,1.6666666666666667,0.3333333333333333,3.0,2.0,1.0,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0,0.6666666666666666,2.0,2.0,0.6666666666666666,1.0,3.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,0.6666666666666666,0.0,2.6666666666666665
