,Ajax scored,Ajax received,Heerenveen scored,Heerenveen received,Feyenoord scored,Feyenoord received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Cambuur scored,Cambuur received,Groningen scored,Groningen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Excelsior scored,Excelsior received,Heracles scored,Heracles received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received,Roda scored,Roda received,Nijmegen scored,Nijmegen received,Graafschap scored,Graafschap received
10,3.6666666666666665,0.3333333333333333,2.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,3.0,3.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.0,1.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0,1.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6666666666666665
11,3.3333333333333335,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,4.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.0,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,3.6666666666666665,0.6666666666666666,3.0,2.3333333333333335,1.0,1.0,3.0
12,4.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.0,2.0,1.0,3.6666666666666665,2.0,1.0,3.0,2.0,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.0,1.0,1.6666666666666667,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,4.333333333333333,0.3333333333333333,4.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,3.3333333333333335
13,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.3333333333333333,3.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,2.0,1.0,2.6666666666666665,1.0,1.6666666666666667,3.3333333333333335,2.0,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,2.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,4.0,0.3333333333333333,3.0,1.0,0.3333333333333333,1.3333333333333333,2.0
14,4.0,1.0,2.0,2.6666666666666665,4.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,1.0,3.6666666666666665,1.3333333333333333,0.6666666666666666,1.0,1.0,2.6666666666666665,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,3.0,0.0,2.6666666666666665,1.0,1.0,1.3333333333333333,1.6666666666666667
15,2.3333333333333335,1.0,2.3333333333333335,2.0,2.6666666666666665,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,2.6666666666666665,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,1.6666666666666667
16,2.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.3333333333333333,2.0,0.3333333333333333,2.0,2.0,1.6666666666666667,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,2.0,1.0,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,2.0,2.0,0.6666666666666666,1.6666666666666667
17,1.0,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.6666666666666666,2.0,1.6666666666666667,0.6666666666666666,3.0,2.0,2.0,1.0,2.3333333333333335,1.3333333333333333,1.0,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,2.6666666666666665,1.0,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
18,1.3333333333333333,0.3333333333333333,1.6666666666666667,3.3333333333333335,1.0,3.0,2.0,0.6666666666666666,2.3333333333333335,2.0,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,3.0,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333
19,0.6666666666666666,0.0,2.3333333333333335,2.3333333333333335,1.0,2.6666666666666665,1.0,1.6666666666666667,2.0,1.3333333333333333,3.0,1.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,2.0,2.0,0.6666666666666666,0.3333333333333333,1.0,0.0,2.0,1.0
20,1.0,0.6666666666666666,2.0,0.6666666666666666,1.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,3.6666666666666665,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,3.3333333333333335,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.0,2.3333333333333335
21,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,3.0,1.0,0.3333333333333333,2.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,1.0,0.6666666666666666,0.0,2.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,2.0
22,2.0,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.0,3.0,0.6666666666666666,0.0,1.6666666666666667,2.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,3.3333333333333335,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.0,1.6666666666666667
23,2.3333333333333335,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,2.0,2.0,2.0,1.6666666666666667,1.0,2.3333333333333335,0.0,0.0,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,2.6666666666666665,3.6666666666666665,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0
24,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,1.0,4.333333333333333,3.6666666666666665,2.6666666666666665,2.0,0.0,2.0,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,1.0
25,3.6666666666666665,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,2.0,0.3333333333333333,3.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,2.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.0,0.6666666666666666,2.3333333333333335,1.0,0.6666666666666666,1.0,1.0,1.6666666666666667
26,3.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.0,0.3333333333333333,1.0,2.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,2.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.0
27,2.6666666666666665,0.6666666666666666,0.3333333333333333,2.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.6666666666666665,1.6666666666666667,1.0,0.3333333333333333,3.3333333333333335,2.6666666666666665,1.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.0,1.6666666666666667,1.6666666666666667
28,2.3333333333333335,0.6666666666666666,1.0,1.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.0,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,3.0,1.6666666666666667,1.3333333333333333,1.0,2.0,1.6666666666666667,0.6666666666666666,2.0,2.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667
29,2.0,0.0,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1.0,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.0,3.0,2.0,1.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,0.6666666666666666,2.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,2.6666666666666665
30,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,3.0,3.0,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,3.0,3.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0
31,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.0,2.0,2.3333333333333335,0.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,2.0,1.3333333333333333,3.0,2.0,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.0,2.0,1.3333333333333333,1.3333333333333333
32,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,3.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,3.6666666666666665,1.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667
33,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,3.6666666666666665,1.0,1.0,3.0,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,1.0,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667
