,Dundee United scored,Dundee United received,Inverness C scored,Inverness C received,St Johnstone scored,St Johnstone received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Partick scored,Partick received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Dundee scored,Dundee received,Hamilton scored,Hamilton received
15,2.0,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.6666666666666665,2.0,0.0,1.0,2.0,1.6666666666666667,1.3333333333333333
16,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,2.0,2.0,0.6666666666666666,0.3333333333333333,2.0,2.0,0.0,1.0,1.6666666666666667,1.0,1.3333333333333333
17,1.0,1.6666666666666667,0.0,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666
18,3.0,1.6666666666666667,1.0,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,3.3333333333333335,2.0,0.3333333333333333
19,3.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,2.3333333333333335,1.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,1.3333333333333333,3.3333333333333335,2.0,0.3333333333333333
20,3.6666666666666665,2.0,2.0,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,2.0,0.0,2.3333333333333335,2.6666666666666665,2.6666666666666665,1.0
21,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,2.6666666666666665,1.6666666666666667,1.0,1.6666666666666667
22,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,1.0,1.0,1.3333333333333333,3.0,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,3.3333333333333335
23,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,1.0,1.0,2.3333333333333335,0.0,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.0,1.3333333333333333,0.0,3.0
24,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,2.3333333333333335,0.3333333333333333,2.0,2.3333333333333335,1.0,1.0,1.0,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665
25,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0
26,0.6666666666666666,2.0,2.0,1.6666666666666667,1.3333333333333333,1.0,3.3333333333333335,0.6666666666666666,1.0,1.6666666666666667,2.3333333333333335,3.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.0,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
27,0.6666666666666666,2.3333333333333335,2.0,2.0,1.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,1.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,2.6666666666666665
28,0.3333333333333333,2.0,2.0,2.0,0.6666666666666666,1.0,3.3333333333333335,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,2.0,1.0,2.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335
29,0.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.0,3.0,0.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,2.0,0.0,0.3333333333333333,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335
30,0.6666666666666666,2.3333333333333335,1.0,1.0,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.0,1.0,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,0.0,0.0,1.6666666666666667,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0,2.3333333333333335
31,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.0,1.0,0.6666666666666666,2.3333333333333335,0.0,3.6666666666666665,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,3.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.6666666666666667
32,1.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,3.3333333333333335,1.0,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666
