,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Groningen scored,Groningen received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Roda JC scored,Roda JC received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Sparta scored,Sparta received,Nijmegen scored,Nijmegen received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Waalwijk scored,Waalwijk received,NAC Breda scored,NAC Breda received,Excelsior scored,Excelsior received
0,1.3333333333333333,1.0,2.3333333333333335,1.0,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.0,3.0,1.0,1.0,3.3333333333333335,2.0,2.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666,2.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,2.0,3.6666666666666665,,
1,2.3333333333333335,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.6666666666666665,1.0,2.0,2.6666666666666665,3.0,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.6666666666666667,4.0,,
2,3.0,1.0,3.0,1.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,2.3333333333333335,1.6666666666666667,3.0,1.6666666666666667,1.0,0.0,1.6666666666666667,2.6666666666666665,2.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,2.0,0.3333333333333333,1.0,3.3333333333333335,1.6666666666666667,2.6666666666666665,,
3,2.3333333333333335,1.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,3.0,1.0,0.3333333333333333,2.3333333333333335,1.0,3.6666666666666665,1.6666666666666667,0.6666666666666666,0.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333
4,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,2.0,1.0,0.3333333333333333,2.3333333333333335,0.0,2.3333333333333335,2.0,1.3333333333333333,2.0,1.0,0.6666666666666666,2.0,1.0,0.0,2.0,1.3333333333333333
5,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,1.0,2.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,2.0,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333
6,2.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,2.0,2.0,0.3333333333333333,0.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,2.0,1.0,2.0,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.0,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.0
7,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.3333333333333333,2.6666666666666665,3.3333333333333335,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,2.0,1.6666666666666667,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,0.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,2.0
8,2.3333333333333335,1.0,3.0,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,1.0,4.666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,3.6666666666666665,1.0,0.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666,2.3333333333333335
9,3.3333333333333335,1.3333333333333333,2.6666666666666665,0.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,4.333333333333333,0.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,2.0,0.6666666666666666,1.6666666666666667,1.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,0.3333333333333333,1.3333333333333333,3.0,1.0,1.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,2.6666666666666665
