,Besiktas scored,Besiktas received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Genclerbirligi scored,Genclerbirligi received,Trabzonspor scored,Trabzonspor received,Galatasaray scored,Galatasaray received,Buyuksehyr scored,Buyuksehyr received,Bursaspor scored,Bursaspor received,Rizespor scored,Rizespor received,Antalyaspor scored,Antalyaspor received,Konyaspor scored,Konyaspor received,Osmanlispor scored,Osmanlispor received,Fenerbahce scored,Fenerbahce received,Gaziantepspor scored,Gaziantepspor received,Kasimpasa scored,Kasimpasa received,Kayserispor scored,Kayserispor received,Adanaspor scored,Adanaspor received,Alanyaspor scored,Alanyaspor received,Karabukspor scored,Karabukspor received
10,1.6666666666666667,1.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,3.0,1.0,0.6666666666666666,0.0,1.6666666666666667,2.0,1.0,0.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,0.3333333333333333,2.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.6666666666666666,2.3333333333333335
11,1.6666666666666667,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,1.0,1.3333333333333333,3.0,1.0,0.0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.0,3.0,1.0,1.6666666666666667,0.3333333333333333,2.0,1.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.6666666666666666
12,1.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,3.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,0.0,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333
13,1.0,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.0,1.0,1.0,1.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.0,0.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.0,1.0,1.3333333333333333
14,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.0,1.3333333333333333,1.0,0.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667
15,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,3.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,2.0,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667
16,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,2.0,1.0,0.3333333333333333,1.0,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,2.0,2.0,1.0,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,1.0
17,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,1.0,2.0,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.0,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,4.0,1.0,1.0
18,3.6666666666666665,0.6666666666666666,0.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.6666666666666665,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.0,0.0,2.6666666666666665,1.0,1.3333333333333333,1.3333333333333333,2.0,2.0,0.6666666666666666,1.3333333333333333,3.0,1.0,0.6666666666666666
19,3.3333333333333335,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,2.0,0.0,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,1.0,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.0
20,3.0,1.3333333333333333,0.6666666666666666,3.0,1.0,1.3333333333333333,1.6666666666666667,0.0,2.6666666666666665,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,2.0,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
21,1.6666666666666667,1.0,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,1.0,0.6666666666666666,3.3333333333333335,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666
22,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,2.0,1.0,2.0,0.6666666666666666,1.0,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,2.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666,3.3333333333333335,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666
23,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,2.0,0.3333333333333333,1.0,2.0,1.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.6666666666666666,2.6666666666666665,2.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,1.0,0.3333333333333333
24,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,2.0,0.3333333333333333,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.3333333333333333,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,2.0,1.6666666666666667,1.3333333333333333
25,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,1.0,2.0,2.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.0,2.0,2.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.6666666666666667,2.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333
26,2.3333333333333335,1.0,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,2.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.0,1.0,0.6666666666666666,2.0,1.0,2.0,2.0,2.0,1.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,2.0,1.6666666666666667,3.3333333333333335,1.0,2.6666666666666665,3.0,1.3333333333333333,1.0,2.3333333333333335
27,3.3333333333333335,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,1.0,3.3333333333333335,2.0,1.3333333333333333,0.0,1.3333333333333333
28,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,2.3333333333333335,2.0,2.0,2.0,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,2.0,1.6666666666666667,3.6666666666666665,1.0,2.0,0.0,1.0
29,1.6666666666666667,2.0,4.333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,2.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,5.333333333333333,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,2.0,0.3333333333333333,0.0
30,1.3333333333333333,1.3333333333333333,4.0,0.0,0.3333333333333333,1.0,1.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.0,0.6666666666666666,0.0,4.333333333333333,3.0,2.0,2.0,1.0,1.0,1.6666666666666667,0.0,1.6666666666666667,1.0,1.0,0.3333333333333333,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,1.0,1.3333333333333333
31,2.3333333333333335,0.6666666666666666,4.333333333333333,0.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,3.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,2.0,1.6666666666666667,0.0,2.3333333333333335,1.0,1.0,0.3333333333333333,3.3333333333333335,2.6666666666666665,2.3333333333333335,2.0,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.0,2.3333333333333335
32,3.3333333333333335,0.3333333333333333,3.3333333333333335,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.0,1.6666666666666667,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.0,1.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,3.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,3.0
33,4.0,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.0,0.6666666666666666,1.0,2.3333333333333335,1.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,3.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.0,1.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.0,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,2.3333333333333335
